sample_label	D1	D2
monkeyc1g1s1	8.809783	7.611147
monkeyc1g1s2	4.110747	11.103186
monkeyc1g1s3	4.11471	11.039587
monkeyc1g1s4	3.154736	6.743244
monkeyc1g1s5	5.972931	7.537982
monkeyc1g1s6	5.330675	7.03301
monkeyc1g1s7	5.721986	6.103138
monkeyc1g1s8	6.040546	6.567276
monkeyc1g1s9	8.010096	9.235093
monkeyc1g1s10	8.663637	9.113787
monkeyc1g1s11	3.364345	10.19331
monkeyc1g1s12	4.23395	10.003093
monkeyc1g1s13	6.545098	9.127085
monkeyc1g1s14	7.35131	10.731793
monkeyc1g1s15	6.600897	9.293019
monkeyc1g1s16	8.227767	7.990697
monkeyc1g1s17	3.640258	7.066937
monkeyc1g1s18	2.616746	8.077674
monkeyc1g1s19	4.698015	7.995143
monkeyc1g1s20	4.663209	9.719093
monkeyc1g1s21	6.889547	10.594419
monkeyc1g1s22	4.474191	8.945728
monkeyc1g1s23	7.822474	6.546626
monkeyc1g1s24	5.325493	5.438902
monkeyc1g1s25	4.271755	7.876889
monkeyc1g1s26	3.77916	7.983635
monkeyc1g1s27	6.642428	7.317616
monkeyc1g1s28	6.10352	8.246751
monkeyc1g1s29	8.280682	8.250152
monkeyc1g1s30	3.83098	11.027824
