[7.9392, 11.32987]
[5.88962, 7.67716]
[5.90598, 7.61468]
[5.92359, 7.55235]
[5.94245, 7.49019]
[5.96257, 7.42824]
[5.98395, 7.3665]
[6.00657, 7.30502]
[6.03044, 7.24381]
[6.05556, 7.1829]
[7.89116, 11.31848]
[6.08192, 7.12231]
[6.10953, 7.06207]
[6.13837, 7.00221]
[6.16844, 6.94275]
[6.19974, 6.88372]
[6.23226, 6.82513]
[6.266, 6.76703]
[7.84317, 11.30611]
[7.79526, 11.29275]
[7.74744, 11.2784]
[7.69974, 11.26305]
[7.65217, 11.24672]
[7.60476, 11.22939]
[7.55752, 11.21107]
[7.51048, 11.19176]
[7.46366, 11.17146]
[7.41707, 11.15017]
[7.37075, 11.12789]
[7.3247, 11.10463]
[7.27896, 11.08039]
[7.23353, 11.05516]
[7.18845, 11.02896]
[7.14373, 11.00179]
[8.27532, 11.38221]
[7.09939, 10.97365]
[12.95107, 12.39605]
[12.89381, 12.47658]
[12.83493, 12.55616]
[12.77442, 12.63474]
[12.71231, 12.71231]
[12.64862, 12.78883]
[7.05546, 10.94454]
[12.58335, 12.86426]
[12.51654, 12.93857]
[10.43334, 10.20101]
[12.4482, 13.01173]
[12.37835, 13.08372]
[12.307, 13.1545]
[12.23419, 13.22403]
[12.15993, 13.29229]
[12.08424, 13.35925]
[12.00715, 13.42488]
[7.01195, 10.91448]
[11.92867, 13.48915]
[11.84885, 13.55203]
[11.76768, 13.61349]
[10.41799, 10.23438]
[11.68522, 13.67351]
[11.60147, 13.73206]
[11.51647, 13.7891]
[11.43024, 13.84462]
[11.34281, 13.89859]
[11.2542, 13.95098]
[6.96888, 10.88347]
[11.16446, 14.00176]
[11.07359, 14.05092]
[10.98165, 14.09843]
[10.88864, 14.14426]
[10.40189, 10.2676]
[10.79462, 14.1884]
[10.69959, 14.23081]
[10.60361, 14.27148]
[10.50669, 14.31039]
[6.92628, 10.85151]
[10.40888, 14.34752]
[10.3102, 14.38284]
[10.2107, 14.41634]
[10.11039, 14.44799]
[10.00932, 14.47779]
[9.907515, 14.50571]
[10.38504, 10.30064]
[9.80502, 14.53173]
[9.701866, 14.55584]
[9.598089, 14.57803]
[9.493724, 14.59827]
[9.388808, 14.61656]
[9.283378, 14.63288]
[9.177471, 14.64721]
[9.0711238, 14.65955]
[8.9643746, 14.66989]
[8.857261, 14.67821]
[10.36744, 10.3335]
[8.749821, 14.6845]
[8.642094, 14.68875]
[6.88417, 10.81862]
[8.534118, 14.69096]
[8.425931, 14.69112]
[8.317573, 14.68922]
[8.209084, 14.68525]
[8.100502, 14.67921]
[7.99187, 14.67109]
[7.88322, 14.66089]
[7.7746, 14.64861]
[10.34909, 10.36615]
[7.66605, 14.63424]
[6.84256, 10.78479]
[7.5576, 14.61778]
[7.4493, 14.59923]
[7.34119, 14.5786]
[7.2333, 14.55587]
[7.12569, 14.53105]
[7.01838, 14.50415]
[6.91143, 14.47517]
[6.80486, 14.4441]
[6.69872, 14.41096]
[10.32999, 10.39858]
[6.80148, 10.75003]
[6.59306, 14.37575]
[6.4879, 14.33848]
[6.3833, 14.29915]
[6.27929, 14.25777]
[6.17591, 14.21435]
[6.0732, 14.16889]
[5.9712, 14.12142]
[5.86996, 14.07193]
[5.76951, 14.02044]
[5.66988, 13.96696]
[6.76095, 10.71436]
[10.31015, 10.43078]
[5.57113, 13.91151]
[5.47329, 13.8541]
