[14.467691, 6.996328]
[15.483963, 8.536093]
[9.302266, 8.861015]
[9.669546, 10.479175]
[11.349948, 6.555915]
[15.033198, 7.251656]
[15.226483, 7.647297]
[12.378816, 7.071152]
[11.90309, 7.279613]
[15.232101, 8.278193]
[12.333202, 7.252878]
[11.786325, 7.443645]
[15.122148, 7.991356]
[13.811322, 9.247271]
[13.354521, 11.016747]
[14.898926, 9.871251]
[14.627355, 7.564961]
[15.119281, 7.276578]
[11.238563, 10.112326]
[12.747731, 5.60194]
[12.489832, 6.982588]
[13.913707, 10.315791]
[9.376586, 8.064351]
[14.420009, 7.696498]
[11.647688, 8.366929]
[10.173479, 8.076015]
[14.831281, 7.037778]
[11.455599, 5.49669]
[10.037939, 7.574473]
[12.711283, 8.789611]
[11.159588, 6.099215]
[12.564496, 8.440556]
[14.877943, 9.994827]
[11.739627, 7.48055]
[14.82853, 8.300731]
[13.57998, 9.47421]
[9.865995, 7.04674]
[13.277697, 8.784518]
[13.384955, 8.990073]
[14.940117, 9.186763]
[9.488056, 9.499338]
[10.563122, 7.662337]
[14.855328, 10.238964]
[15.393563, 8.133919]
[12.593637, 9.563616]
[9.990399, 7.475941]
[14.392284, 9.122481]
[15.244205, 8.127743]
[13.057822, 7.140635]
[12.681108, 11.528973]
[12.593154, 6.314322]
[13.684204, 5.679649]
[10.690714, 5.910972]
[9.443963, 7.981731]
[11.088643, 9.669616]
[15.352259, 8.392687]
[15.18504, 9.198326]
[13.341617, 6.301481]
[10.509051, 10.985684]
[10.653543, 6.772159]
[9.886398, 7.383131]
[10.330361, 7.014029]
[11.597665, 9.102673]
[14.314407, 7.729475]
[13.584613, 7.188098]
[10.659423, 6.883138]
[12.717114, 7.147808]
[10.922353, 11.489424]
[11.000541, 7.426921]
[10.208475, 6.622606]
[11.862019, 9.865209]
[11.209004, 8.839366]
[9.545351, 8.056005]
[10.061459, 8.271841]
[11.953165, 6.822955]
[10.796247, 9.252429]
[15.38086, 8.138967]
[11.925966, 9.264407]
[11.62539, 11.104558]
[15.091329, 7.707609]
[9.923935, 8.43294]
[14.527205, 8.697161]
[10.243764, 9.23058]
[15.369001, 7.907358]
[11.915964, 6.866109]
[11.905886, 7.944267]
[13.787551, 10.176782]
[14.570234, 7.65119]
[10.705625, 6.716127]
[10.952518, 9.123736]
[11.876453, 11.045372]
[13.306554, 10.082577]
[13.94771, 9.665133]
[10.854871, 7.105713]
[10.733872, 10.442392]
[9.769249, 6.559751]
[12.685212, 10.275229]
[13.165636, 6.429497]
[11.463186, 9.40981]
[13.799973, 6.431171]
[13.319366, 11.378881]
[13.021065, 8.177925]
[10.443752, 9.983639]
[12.177624, 8.918921]
[14.452888, 10.178671]
[11.6481, 10.371973]
[11.554307, 11.501471]
[14.017493, 8.392248]
[14.961937, 7.88313]
[10.395455, 8.101399]
[14.897748, 8.321614]
[9.538918, 9.324792]
[10.534407, 6.855857]
[13.412333, 6.871552]
[10.568859, 10.14592]
[11.039977, 8.727893]
[13.594284, 11.398085]
[12.139363, 10.899022]
[12.060565, 11.514025]
[14.070959, 7.607155]
[15.466414, 8.186728]
[11.11321, 8.163141]
[12.321731, 8.2783]
[11.544982, 10.532122]
[15.251616, 9.323279]
[14.076915, 9.126124]
[9.799263, 10.497828]
[10.367531, 9.596489]
[14.363692, 8.303235]
[15.009216, 8.525306]
[14.080224, 9.00573]
[14.338515, 7.470245]
[11.831923, 7.923853]
[12.23211, 7.685469]
[12.568517, 7.997786]
[9.919575, 6.584701]
[13.748555, 10.227921]
[11.083963, 8.935748]
[12.451495, 7.645038]
[10.442237, 8.0468]
[13.445472, 7.144403]
[11.38078, 10.369708]
[9.971004, 7.780204]
[12.918224, 7.859076]
[15.08847, 8.956548]
[14.182929, 10.530591]
[10.078398, 6.738377]
[10.997972, 8.023078]
[9.256527, 8.384562]
[10.768537, 9.826799]
[13.093722, 8.702083]
[11.482271, 11.082863]
[10.256745, 9.817834]
[9.263867, 9.675109]
[12.485631, 11.367351]
[13.284205, 6.875322]
[14.295099, 6.457086]
[10.831849, 11.264127]
[12.114291, 9.05619]
[9.361241, 8.399722]
[14.15622, 10.033571]
[10.982247, 10.319362]
[15.308894, 7.890213]
[15.245009, 9.334135]
[12.791996, 5.656481]
[10.058187, 10.388088]
[14.114885, 10.555354]
[13.927818, 7.81259]
[12.921575, 7.907944]
[11.165146, 9.908106]
[10.137305, 10.695453]
[9.823752, 8.934781]
[13.436711, 10.727618]
[13.816445, 6.827832]
[13.571455, 7.127505]
[15.18401, 8.971322]
[14.619501, 9.327803]
[11.652688, 7.084298]
[10.090506, 7.413146]
[14.705873, 10.02109]
[10.381018, 7.134471]
[14.858395, 8.803081]
[9.564036, 6.884535]
[10.932295, 10.9994]
[10.410347, 7.528344]
[13.063035, 7.020538]
[13.012642, 9.133684]
[12.228514, 7.679904]
[11.064774, 9.514376]
[10.433168, 6.784588]
[13.954299, 7.294426]
[12.640934, 7.101787]
[10.441883, 7.665823]
[11.417171, 7.538549]
[11.567045, 8.817093]
[15.43959, 8.026493]
[10.359937, 10.254837]
[14.422972, 9.802779]
[11.477478, 7.146463]
[14.705992, 9.211237]
[12.825523, 10.644404]
[14.310111, 7.95509]
[9.479719, 7.581505]
[11.25642, 5.760038]
[13.647328, 7.998586]
[9.724373, 8.703555]
[15.215679, 9.365814]
[11.452172, 7.333899]
[9.358056, 8.694488]
[14.053382, 7.91048]
[14.029798, 8.030588]
[11.98294, 10.556114]
[14.385678, 10.491702]
[14.744164, 7.137071]
[14.651739, 7.160326]
[13.625866, 8.724216]
[10.586005, 6.300031]
[13.038178, 6.143727]
[10.358088, 7.110598]
[15.218923, 9.770154]
[14.403777, 9.716157]
[10.644365, 5.867697]
[12.182271, 9.330356]
[11.762921, 11.031745]
[12.28452, 10.193484]
[9.696012, 9.920654]
[9.263811, 9.431705]
[11.554902, 11.187994]
[13.975433, 9.653181]
[9.296032, 8.941912]
[15.212855, 8.888133]
[13.193009, 11.373789]
[10.17289, 6.528154]
[10.740586, 10.601437]
[10.768198, 6.874358]
[10.009943, 7.865461]
[15.174351, 8.561474]
[13.305005, 11.467238]
[11.093351, 6.827055]
[15.225057, 8.289679]
[14.001085, 8.004094]
[14.260323, 6.5607]
[13.82326, 8.301287]
[12.634696, 7.066673]
[11.282228, 8.076616]
[13.84769, 10.193404]
[11.190043, 8.00841]
[10.867283, 9.012514]
[11.078285, 8.747571]
[13.003063, 9.619385]
[10.668061, 8.407615]
[13.631439, 7.956052]
[13.629915, 9.500306]
[15.290749, 7.983204]
[13.840223, 8.713207]
[13.873248, 8.9819]
[10.709902, 8.944867]
[9.639471, 6.774252]
[11.307532, 7.873793]
[13.581866, 7.724301]
[15.200565, 7.66262]
[13.033359, 8.861639]
[12.274686, 9.205458]
[11.497649, 9.787275]
[15.212991, 7.879142]
[11.215106, 6.305744]
[11.289707, 8.668364]
[15.323066, 9.383011]
[9.440003, 7.527597]
[10.711948, 8.276427]
[14.042595, 7.891128]
[9.485763, 7.475215]
[11.050547, 10.741202]
[14.325233, 7.811958]
[11.856661, 5.809234]
[11.579651, 11.704325]
[12.088376, 6.220069]
[14.378083, 7.683096]
[13.288433, 10.028436]
[14.243624, 7.503705]
[15.440384, 8.22681]
[12.828852, 8.795628]
[14.51794, 8.926405]
[10.203155, 8.425339]
[12.895425, 6.93299]
[15.278522, 8.704539]
[14.597762, 8.654923]
[13.38402, 9.75081]
[15.281734, 8.488202]
[13.666319, 5.822008]
[11.288871, 8.566915]
[15.184296, 9.477694]
[14.254043, 6.392232]
[13.361805, 6.515779]
[13.447156, 10.966589]
[13.23889, 9.278698]
[9.633027, 8.826184]
[14.715869, 8.38139]
[11.948833, 8.558574]
[10.081874, 7.109528]
[15.446775, 8.193702]
[13.008355, 6.722759]
[9.581396, 6.973628]
[9.644202, 7.185984]
[15.120784, 9.169673]
[9.388725, 9.21491]
[9.921469, 7.165519]
[9.288198, 8.975046]
[13.59592, 10.415032]
[13.430561, 7.933387]
[14.85332, 6.881017]
[14.405784, 8.554646]
[15.049986, 7.219508]
[11.885428, 8.282082]
[9.265101, 8.148739]
[13.677681, 10.89915]
[13.22296, 5.947389]
[9.974669, 7.403004]
[13.649714, 10.056131]
[11.816812, 6.056751]
[9.922731, 8.091329]
[14.187312, 10.724715]
[13.550632, 8.80337]
[13.340499, 5.568015]
[12.900485, 8.453444]
[15.360498, 8.718546]
[11.719237, 6.483428]
[13.121882, 5.592577]
[10.854843, 8.940274]
[10.267246, 11.043278]
[14.916961, 9.932133]
[11.07009, 10.688884]
[11.992822, 11.684587]
[13.086197, 10.619302]
[11.146829, 7.228544]
[12.169801, 7.49656]
[9.580286, 8.550398]
[11.278549, 9.733826]
[15.400432, 8.613181]
[14.993649, 7.866459]
[14.42061, 9.936549]
[11.523869, 6.439371]
[11.418455, 8.068489]
[15.054545, 9.717558]
[14.156304, 8.989649]
[13.997844, 7.849653]
[14.448628, 7.471354]
[13.828202, 10.038633]
[10.801558, 10.141583]
[10.438593, 11.127747]
[14.799712, 7.028166]
[11.889374, 5.341663]
[11.975923, 6.834753]
[9.903481, 10.524402]
[14.901324, 10.159952]
[10.073305, 6.488484]
[13.36089, 11.330068]
[13.374799, 6.224897]
[12.885301, 7.416095]
[9.671144, 6.753842]
[15.470857, 8.807376]
[14.588426, 10.584521]
[11.241777, 9.486472]
[12.525832, 8.669703]
[14.259777, 9.168304]
[15.448262, 8.68363]
[13.93376, 9.354774]
[14.912334, 9.473299]
[13.035631, 11.404259]
[14.744654, 9.810627]
[10.586883, 8.624152]
[14.094258, 8.338025]
[11.118673, 6.847775]
[15.305145, 7.595782]
[14.033184, 7.274246]
[13.531513, 6.252712]
[11.577607, 11.186471]
[14.297064, 10.779919]
[14.308805, 8.32555]
[14.830599, 7.894621]
[11.280204, 9.481504]
[15.219804, 8.085763]
[11.767829, 8.931799]
[13.315604, 7.919196]
[10.513667, 6.504118]
[11.543623, 10.338862]
[15.237302, 9.578815]
[14.54527, 8.400716]
[14.703959, 7.207779]
[13.693878, 9.060547]
[13.888142, 8.401146]
[9.992764, 8.809631]
[9.462372, 8.539434]
[10.14775, 6.77003]
[15.007263, 9.132867]
[14.12481, 6.071675]
[14.647919, 10.611233]
[15.316945, 9.466413]
[11.72907, 7.339232]
[11.564555, 10.440378]
[12.557319, 6.278129]
[14.60275, 9.517563]
[9.260499, 9.011615]
[12.734826, 7.623444]
[10.077693, 9.593295]
[11.448938, 10.878409]
[14.118056, 11.189731]
[14.446369, 6.515003]
[12.46725, 9.295362]
[14.381416, 6.75597]
[12.664817, 9.984973]
[14.013289, 9.097723]
[9.764874, 7.670508]
[13.058222, 11.405334]
[10.78052, 5.993027]
[15.073816, 7.156667]
[14.162226, 6.686927]
[10.655118, 6.086658]
[9.611487, 9.525109]
[14.938529, 10.012283]
[13.894728, 10.70531]
[13.478544, 7.817333]
[9.771977, 9.20426]
[11.427095, 7.24382]
[13.690918, 10.004251]
[13.865072, 6.18129]
[11.222947, 7.089969]
[14.776237, 6.566854]
[15.363465, 7.899906]
[10.206855, 8.174587]
[14.919139, 6.909421]
[11.633049, 11.387964]
[14.150381, 10.906425]
[11.748734, 6.843522]
[13.692554, 6.065558]
[13.582104, 10.76981]
[11.957176, 10.552773]
[10.202757, 8.617007]
[9.426208, 8.326115]
[10.613982, 9.532969]
[13.818675, 10.39167]
[12.662107, 6.534719]
[11.006557, 11.326061]
[15.3851, 7.759741]
[11.666504, 5.787349]
[12.225299, 10.158833]
[11.205109, 9.015783]
[12.621606, 11.065936]
[13.17435, 9.19686]
[11.592944, 10.720355]
[10.383969, 6.436672]
[9.544338, 7.502724]
[11.541749, 10.60111]
[12.437444, 10.137172]
[12.332544, 10.971288]
[9.631967, 7.147791]
[10.119316, 7.827584]
[11.6064, 10.032693]
[15.322183, 8.409755]
[10.650558, 6.094104]
[14.547419, 7.001063]
[14.394662, 8.385033]
[13.508667, 7.592837]
