[-1.51115, 15.377674]
[-9.5, 15.5]
[-9.50973, 15.4715389]
[-9.51892, 15.4427109]
[-9.52755, 15.4135266]
[-9.53562, 15.383997]
[-9.54312, 15.354132]
[-9.55003, 15.323944]
[-9.55635, 15.293444]
[-9.56207, 15.262644]
[-9.56717, 15.231555]
[-9.57166, 15.20019]
[-9.57552, 15.168561]
[-9.57873, 15.136681]
[-9.58131, 15.104563]
[-9.58323, 15.07222]
[-9.58448, 15.039665]
[-9.58508, 15.006911]
[-9.58499, 14.973972]
[-9.58422, 14.940863]
[-9.58277, 14.907597]
[-9.58062, 14.874188]
[-9.57777, 14.840651]
[-9.57421, 14.807001]
[-9.56995, 14.773252]
[-9.56497, 14.739419]
[-9.55926, 14.705517]
[-9.55283, 14.671561]
[-9.54567, 14.637567]
[-9.53778, 14.603551]
[-9.52916, 14.569527]
[-9.51979, 14.535512]
[-9.50968, 14.501521]
[-9.49883, 14.46757]
[-9.48723, 14.43368]
[-9.47488, 14.39985]
[-9.46179, 14.36612]
[-9.44794, 14.33249]
[-9.43334, 14.29899]
[-9.41799, 14.26562]
[-9.40189, 14.2324]
[-9.38504, 14.19936]
[-9.36744, 14.1665]
[-9.34909, 14.13385]
[-9.32999, 14.10142]
[-9.31015, 14.06922]
[-9.28956, 14.03728]
[-9.26823, 14.00561]
[-9.24616, 13.97423]
[-9.22336, 13.94315]
[-9.19983, 13.91239]
[-9.17557, 13.88197]
[-9.15059, 13.8519]
[-9.12489, 13.8222]
[-9.09848, 13.79288]
[-9.07136, 13.76397]
[-9.04353, 13.73548]
[-9.01502, 13.70742]
[-8.985813, 13.67982]
[-8.955926, 13.65268]
[-8.925365, 13.62602]
[-8.894136, 13.59986]
[-8.86225, 13.57422]
[-8.829712, 13.54911]
[-8.796533, 13.52454]
[-8.762721, 13.50054]
[-8.728287, 13.47711]
[-8.693238, 13.45427]
[-8.657587, 13.43203]
[-8.621342, 13.41042]
[-8.584515, 13.38945]
[-8.547118, 13.36912]
[-8.509161, 13.34945]
[-8.470656, 13.33046]
[-8.431615, 13.31217]
