sample label	d1	d2
c2g2s1000	14.46769100	6.99632800
c2g2s501	15.48396300	8.53609300
c2g2s506	15.03319800	7.25165600
c2g2s507	15.22648300	7.64729700
c2g2s510	15.23210100	8.27819300
c2g2s513	15.12214800	7.99135600
c2g2s514	13.81132200	9.24727100
c2g2s515	13.35452100	11.01674700
c2g2s516	14.89892600	9.87125100
c2g2s517	14.62735500	7.56496100
c2g2s518	15.11928100	7.27657800
c2g2s522	13.91370700	10.31579100
c2g2s524	14.42000900	7.69649800
c2g2s528	14.83128100	7.03777800
c2g2s532	12.71128300	8.78961100
c2g2s534	12.56449600	8.44055600
c2g2s535	14.87794300	9.99482700
c2g2s537	14.82853000	8.30073100
c2g2s538	13.57998000	9.47421000
c2g2s540	13.27769700	8.78451800
c2g2s541	13.38495500	8.99007300
c2g2s542	14.94011700	9.18676300
c2g2s546	14.85532800	10.23896400
c2g2s547	15.39356300	8.13391900
c2g2s548	12.59363700	9.56361600
c2g2s550	14.39228400	9.12248100
c2g2s551	15.24420500	8.12774300
c2g2s553	12.68110800	11.52897300
c2g2s559	15.35225900	8.39268700
c2g2s560	15.18504000	9.19832600
c2g2s568	14.31440700	7.72947500
c2g2s569	13.58461300	7.18809800
c2g2s575	11.86201900	9.86520900
c2g2s581	15.38086000	8.13896700
c2g2s583	11.62539000	11.10455800
c2g2s584	15.09132900	7.70760900
c2g2s586	14.52720500	8.69716100
c2g2s588	15.36900100	7.90735800
c2g2s591	13.78755100	10.17678200
c2g2s592	14.57023400	7.65119000
c2g2s595	11.87645300	11.04537200
c2g2s596	13.30655400	10.08257700
c2g2s597	13.94771000	9.66513300
c2g2s601	12.68521200	10.27522900
c2g2s606	13.31936600	11.37888100
c2g2s607	13.02106500	8.17792500
c2g2s609	12.17762400	8.91892100
c2g2s610	14.45288800	10.17867100
c2g2s611	11.64810000	10.37197300
c2g2s612	11.55430700	11.50147100
c2g2s613	14.01749300	8.39224800
c2g2s614	14.96193700	7.88313000
c2g2s616	14.89774800	8.32161400
c2g2s623	13.59428400	11.39808500
c2g2s624	12.13936300	10.89902200
c2g2s625	12.06056500	11.51402500
c2g2s626	14.07095900	7.60715500
c2g2s627	15.46641400	8.18672800
c2g2s630	11.54498200	10.53212200
c2g2s631	15.25161600	9.32327900
c2g2s632	14.07691500	9.12612400
c2g2s635	14.36369200	8.30323500
c2g2s636	15.00921600	8.52530600
c2g2s637	14.08022400	9.00573000
c2g2s638	14.33851500	7.47024500
c2g2s643	13.74855500	10.22792100
c2g2s647	13.44547200	7.14440300
c2g2s648	11.38078000	10.36970800
c2g2s650	12.91822400	7.85907600
c2g2s651	15.08847000	8.95654800
c2g2s652	14.18292900	10.53059100
c2g2s657	13.09372200	8.70208300
c2g2s658	11.48227100	11.08286300
c2g2s661	12.48563100	11.36735100
c2g2s663	14.29509900	6.45708600
c2g2s666	12.11429100	9.05619000
c2g2s668	14.15622000	10.03357100
c2g2s670	15.30889400	7.89021300
c2g2s671	15.24500900	9.33413500
c2g2s674	14.11488500	10.55535400
c2g2s675	13.92781800	7.81259000
c2g2s676	12.92157500	7.90794400
c2g2s680	13.43671100	10.72761800
c2g2s681	13.81644500	6.82783200
c2g2s682	13.57145500	7.12750500
c2g2s683	15.18401000	8.97132200
c2g2s684	14.61950100	9.32780300
c2g2s688	14.70587300	10.02109000
c2g2s690	14.85839500	8.80308100
c2g2s696	13.01264200	9.13368400
c2g2s700	13.95429900	7.29442600
c2g2s705	15.43959000	8.02649300
c2g2s707	14.42297200	9.80277900
c2g2s709	14.70599200	9.21123700
c2g2s710	12.82552300	10.64440400
c2g2s711	14.31011100	7.95509000
c2g2s714	13.64732800	7.99858600
c2g2s716	15.21567900	9.36581400
c2g2s719	14.05338200	7.91048000
c2g2s720	14.02979800	8.03058800
c2g2s721	11.98294000	10.55611400
c2g2s722	14.38567800	10.49170200
c2g2s723	14.74416400	7.13707100
c2g2s724	14.65173900	7.16032600
c2g2s725	13.62586600	8.72421600
c2g2s729	15.21892300	9.77015400
c2g2s730	14.40377700	9.71615700
c2g2s732	12.18227100	9.33035600
c2g2s733	11.76292100	11.03174500
c2g2s734	12.28452000	10.19348400
c2g2s737	11.55490200	11.18799400
c2g2s738	13.97543300	9.65318100
c2g2s740	15.21285500	8.88813300
c2g2s741	13.19300900	11.37378900
c2g2s746	15.17435100	8.56147400
c2g2s747	13.30500500	11.46723800
c2g2s749	15.22505700	8.28967900
c2g2s750	14.00108500	8.00409400
c2g2s751	14.26032300	6.56070000
c2g2s752	13.82326000	8.30128700
c2g2s755	13.84769000	10.19340400
c2g2s759	13.00306300	9.61938500
c2g2s762	13.63143900	7.95605200
c2g2s763	13.62991500	9.50030600
c2g2s764	15.29074900	7.98320400
c2g2s765	13.84022300	8.71320700
c2g2s766	13.87324800	8.98190000
c2g2s770	13.58186600	7.72430100
c2g2s771	15.20056500	7.66262000
c2g2s772	13.03335900	8.86163900
c2g2s774	12.27468600	9.20545800
c2g2s776	15.21299100	7.87914200
c2g2s779	15.32306600	9.38301100
c2g2s782	14.04259500	7.89112800
c2g2s784	11.05054700	10.74120200
c2g2s785	14.32523300	7.81195800
c2g2s787	11.57965100	11.70432500
c2g2s789	14.37808300	7.68309600
c2g2s790	13.28843300	10.02843600
c2g2s791	14.24362400	7.50370500
c2g2s792	15.44038400	8.22681000
c2g2s793	12.82885200	8.79562800
c2g2s794	14.51794000	8.92640500
c2g2s799	15.27852200	8.70453900
c2g2s800	14.59776200	8.65492300
c2g2s801	13.38402000	9.75081000
c2g2s802	15.28173400	8.48820200
c2g2s805	15.18429600	9.47769400
c2g2s806	14.25404300	6.39223200
c2g2s808	13.44715600	10.96658900
c2g2s809	13.23889000	9.27869800
c2g2s811	14.71586900	8.38139000
c2g2s814	15.44677500	8.19370200
c2g2s818	15.12078400	9.16967300
c2g2s823	13.59592000	10.41503200
c2g2s824	13.43056100	7.93338700
c2g2s825	14.85332000	6.88101700
c2g2s826	14.40578400	8.55464600
c2g2s827	15.04998600	7.21950800
c2g2s830	13.67768100	10.89915000
c2g2s833	13.64971400	10.05613100
c2g2s836	14.18731200	10.72471500
c2g2s837	13.55063200	8.80337000
c2g2s839	12.90048500	8.45344400
c2g2s840	15.36049800	8.71854600
c2g2s845	14.91696100	9.93213300
c2g2s846	11.07009000	10.68888400
c2g2s847	11.99282200	11.68458700
c2g2s848	13.08619700	10.61930200
c2g2s853	15.40043200	8.61318100
c2g2s854	14.99364900	7.86645900
c2g2s855	14.42061000	9.93654900
c2g2s858	15.05454500	9.71755800
c2g2s859	14.15630400	8.98964900
c2g2s860	13.99784400	7.84965300
c2g2s861	14.44862800	7.47135400
c2g2s862	13.82820200	10.03863300
c2g2s866	14.79971200	7.02816600
c2g2s870	14.90132400	10.15995200
c2g2s872	13.36089000	11.33006800
c2g2s876	15.47085700	8.80737600
