sample label	d1	d2
monkeyc1g1s101	5.56479900	11.78205300
monkeyc1g1s147	4.61850100	11.37774600
monkeyc1g1s195	6.42225600	11.70609500
monkeyc1g1s235	4.71736700	11.45119900
monkeyc1g1s262	4.23720200	11.38254700
monkeyc1g1s316	5.58251000	11.49631300
monkeyc1g1s332	4.78820000	11.31754600
monkeyc1g1s339	6.23512700	11.62356600
monkeyc1g1s439	5.82603800	11.63004800
monkeyc1g1s52	5.07711900	11.42181400
monkeyc1g1s94	5.70142000	11.71625800
monkeyc3l1s1001	5.06479301	13.89347840
monkeyc3l1s1002	3.91129824	13.36782249
monkeyc3l1s1003	4.52151786	13.32095539
monkeyc3l1s1004	5.77845318	13.70048095
monkeyc3l1s1007	4.93008237	14.06865122
monkeyc3l1s1008	7.05611485	13.22079738
monkeyc3l1s1009	2.09599294	13.26039795
monkeyc3l1s1010	6.07916728	14.05983339
monkeyc3l1s1011	3.40930554	14.01069888
monkeyc3l1s1012	5.33281898	14.16622434
monkeyc3l1s1013	3.37505788	13.94170029
monkeyc3l1s1014	1.52347634	13.62992235
monkeyc3l1s1015	1.71027843	13.35323465
monkeyc3l1s1016	7.16830932	13.95870822
monkeyc3l1s1017	2.75213338	13.70118702
monkeyc3l1s1018	2.76840683	13.34401271
monkeyc3l1s1019	3.98690025	13.30893225
monkeyc3l1s1020	5.35755748	13.65065295
monkeyc3l1s1022	6.21633351	14.13582074
monkeyc3l1s1023	2.14860931	14.01501951
monkeyc3l1s1024	4.11205162	13.20705801
monkeyc3l1s1025	6.28498971	13.26811851
monkeyc3l1s1026	2.68665566	13.96131892
monkeyc3l1s1027	5.38879111	14.01210284
monkeyc3l1s1028	2.99832226	13.89515587
monkeyc3l1s1029	6.92405287	13.46334839
monkeyc3l1s1030	3.15603789	14.05531475
monkeyc3l1s1031	5.84083605	13.26950259
monkeyc3l1s1032	2.60128890	13.94073874
monkeyc3l1s1033	5.77739020	13.50799577
monkeyc3l1s1034	3.34096383	13.92055740
monkeyc3l1s1036	5.28756534	13.38112926
monkeyc3l1s1038	3.56606522	13.96043234
monkeyc3l1s1039	3.83484558	14.01326807
monkeyc3l1s1040	1.59151279	13.60220585
monkeyc3l1s1041	2.09343852	14.09528551
monkeyc3l1s1042	6.19690051	13.78185024
monkeyc3l1s1043	4.99098154	14.14585524
monkeyc3l1s1044	3.10344432	13.99553226
monkeyc3l1s1045	6.39782702	13.42800565
monkeyc3l1s1046	5.10351169	13.64036001
monkeyc3l1s1047	2.36614959	13.36837749
monkeyc3l1s1048	7.08879454	13.59260918
monkeyc3l1s1049	6.90766418	13.94410712
monkeyc3l1s1050	4.87079306	13.70481154
monkeyc3l1s1051	3.70376594	13.20157003
monkeyc3l1s1052	6.51062184	13.37306886
monkeyc3l1s1053	2.29664971	13.77723935
monkeyc3l1s1054	4.29376178	13.97932976
monkeyc3l1s1055	1.90578225	14.16532461
monkeyc3l1s1057	5.92138832	13.27779438
monkeyc3l1s1058	5.73125281	13.23520518
monkeyc3l1s1060	3.83379035	13.27331754
monkeyc3l1s1061	6.59386597	13.65913477
monkeyc3l1s1062	5.90243360	13.49935197
monkeyc3l1s1063	5.86802054	13.47414670
monkeyc3l1s1064	3.91500829	13.62304086
monkeyc3l1s1065	6.52100603	13.89417662
monkeyc3l1s1066	6.31037042	13.40445803
monkeyc3l1s1068	7.09411415	13.80873350
monkeyc3l1s1070	4.45195757	13.60594932
monkeyc3l1s1072	2.43085327	13.59187427
monkeyc3l1s1074	3.82713630	13.75461337
monkeyc3l1s1075	3.73694941	13.54148309
monkeyc3l1s1076	5.07697893	13.33767683
monkeyc3l1s1078	5.04043487	13.78116994
monkeyc3l1s1079	3.24219976	14.11321847
monkeyc3l1s1080	6.68163048	13.35333922
monkeyc3l1s1082	6.30668279	13.53745045
monkeyc3l1s1083	4.86818264	13.79649515
monkeyc3l1s1085	2.13896902	13.77908091
monkeyc3l1s1086	5.96811506	14.06046812
monkeyc3l1s1087	6.85834135	13.77336185
monkeyc3l1s1088	5.84237177	13.70554260
monkeyc3l1s1089	2.83101284	13.74193348
monkeyc3l1s1090	5.85854722	13.82346809
monkeyc3l1s1091	1.58603740	13.43562493
monkeyc3l1s1092	1.79660341	13.86364786
monkeyc3l1s1093	3.13662701	13.59447174
monkeyc3l1s1094	6.36465724	13.81135836
monkeyc3l1s1095	4.07668375	13.68835341
monkeyc3l1s1096	1.86854889	14.13909744
monkeyc3l1s1097	2.81820488	13.42436344
monkeyc3l1s1098	3.62236007	13.83985070
monkeyc3l1s1100	3.45563867	13.78541023
monkeyc3l1s1101	6.11884546	14.11013136
monkeyc3l1s1102	6.43252690	14.09790879
monkeyc3l1s1103	3.27896560	13.91560034
monkeyc3l1s1104	4.56862663	13.95491177
monkeyc3l1s1106	4.64720210	13.99472789
monkeyc3l1s1110	2.86214811	14.11924316
monkeyc3l1s1111	5.76416508	13.76372480
monkeyc3l1s1113	7.22654403	13.43846266
monkeyc3l1s1114	2.63235060	14.04129824
monkeyc3l1s1116	6.56517864	13.88584694
monkeyc3l1s1117	6.93455568	13.24289491
monkeyc3l1s1118	6.41686412	14.13485010
monkeyc3l1s1119	4.62284083	13.33189281
monkeyc3l1s1120	1.66212416	13.84396872
monkeyc3l1s1121	3.25014054	14.12543860
monkeyc3l1s1122	4.50947747	13.46352213
monkeyc3l1s1123	2.43249212	14.05036582
monkeyc3l1s1124	5.18920358	14.13205383
monkeyc3l1s1125	2.28153187	13.27157001
monkeyc3l1s1126	5.17058269	13.75503181
monkeyc3l1s1127	6.38865451	14.06494990
monkeyc3l1s1128	3.93694225	13.42500864
monkeyc3l1s1130	5.03371905	14.07173610
monkeyc3l1s1131	6.09268460	13.50783242
monkeyc3l1s1132	4.43077219	14.14450546
monkeyc3l1s1133	2.14251259	13.54415676
monkeyc3l1s1135	6.62112986	14.03491688
monkeyc3l1s1136	2.31882672	13.54541138
monkeyc3l1s1137	4.51730251	13.37392280
monkeyc3l1s1139	2.35419655	13.63892515
monkeyc3l1s1140	4.93640842	13.92219305
monkeyc3l1s1142	6.14661078	13.87821106
monkeyc3l1s1143	4.18742783	13.71485044
monkeyc3l1s1144	7.16061117	14.16666575
monkeyc3l1s1146	3.11380939	13.44861813
monkeyc3l1s1147	5.34919010	13.97092698
monkeyc3l1s1148	7.15044817	13.29765064
monkeyc3l1s1149	6.87083601	14.09891749
monkeyc3l1s1151	6.86674169	13.50059378
monkeyc3l1s1152	2.11859815	13.69997635
monkeyc3l1s1153	4.00900086	14.19132243
monkeyc3l1s1155	5.40857741	13.20368566
monkeyc3l1s1156	4.75359166	13.65890298
monkeyc3l1s1157	4.48733925	13.86923730
